Source;Target;Type
4350;4325;Directed
4350;4327;Directed
4350;637;Directed
4350;4328;Directed
1276;548;Directed
1276;1386;Directed
503;1408;Directed
503;1225;Directed
503;1278;Directed
503;1418;Directed
503;347;Directed
503;1563;Directed
503;1555;Directed
503;1551;Directed
503;338;Directed
503;635;Directed
503;737;Directed
503;499;Directed
503;532;Directed
503;1386;Directed
503;3998;Directed
503;540;Directed
503;535;Directed
503;1229;Directed
503;1223;Directed
503;1231;Directed
503;534;Directed
503;591;Directed
503;299;Directed
503;1230;Directed
503;520;Directed
503;580;Directed
503;1665;Directed
503;629;Directed
503;599;Directed
503;345;Directed
503;1354;Directed
503;1676;Directed
503;4053;Directed
503;341;Directed
503;638;Directed
503;340;Directed
503;1678;Directed
503;371;Directed
503;608;Directed
503;1529;Directed
1371;1335;Directed
1408;503;Directed
248;507;Directed
248;249;Directed
248;298;Directed
248;246;Directed
248;5556;Directed
248;252;Directed
248;1063;Directed
248;1062;Directed
248;1555;Directed
248;1059;Directed
248;4105;Directed
248;1084;Directed
248;245;Directed
248;813;Directed
248;1701;Directed
248;273;Directed
248;1229;Directed
248;253;Directed
248;1128;Directed
248;2177;Directed
248;4059;Directed
248;1107;Directed
248;580;Directed
248;2188;Directed
248;260;Directed
248;1074;Directed
248;3797;Directed
248;340;Directed
248;1638;Directed
545;1382;Directed
545;580;Directed
545;1665;Directed
545;1524;Directed
502;1246;Directed
502;1212;Directed
502;1264;Directed
502;1227;Directed
502;1273;Directed
502;1418;Directed
502;521;Directed
502;664;Directed
502;1562;Directed
502;7447;Directed
502;1550;Directed
502;665;Directed
502;3199;Directed
502;3205;Directed
502;644;Directed
502;1538;Directed
502;346;Directed
502;178;Directed
502;3877;Directed
502;1555;Directed
502;687;Directed
502;1551;Directed
502;609;Directed
502;156;Directed
502;1612;Directed
502;1512;Directed
502;1157;Directed
502;1059;Directed
502;337;Directed
502;1055;Directed
502;1051;Directed
502;1587;Directed
502;1561;Directed
502;1606;Directed
502;1509;Directed
502;1054;Directed
502;1208;Directed
502;1613;Directed
502;1056;Directed
502;1501;Directed
502;4091;Directed
502;737;Directed
502;1200;Directed
502;663;Directed
502;1489;Directed
502;1190;Directed
502;669;Directed
502;1460;Directed
502;1218;Directed
502;499;Directed
502;532;Directed
502;478;Directed
502;1213;Directed
502;498;Directed
502;3998;Directed
502;1742;Directed
502;16;Directed
502;1103;Directed
502;1102;Directed
502;1486;Directed
502;1194;Directed
502;3941;Directed
502;3953;Directed
502;3956;Directed
502;415;Directed
502;421;Directed
502;1657;Directed
502;1706;Directed
502;4315;Directed
502;2954;Directed
502;1715;Directed
502;1701;Directed
502;4317;Directed
502;210;Directed
502;535;Directed
502;1229;Directed
502;1359;Directed
502;1688;Directed
502;2939;Directed
502;1198;Directed
502;1197;Directed
502;1130;Directed
502;4057;Directed
502;2170;Directed
502;4029;Directed
502;533;Directed
502;1231;Directed
502;534;Directed
502;1230;Directed
502;520;Directed
502;580;Directed
502;481;Directed
502;1335;Directed
502;1353;Directed
502;636;Directed
502;1738;Directed
502;666;Directed
502;467;Directed
502;1253;Directed
502;2188;Directed
502;893;Directed
502;2875;Directed
502;1665;Directed
502;630;Directed
502;629;Directed
502;465;Directed
502;599;Directed
502;345;Directed
502;2894;Directed
502;2902;Directed
502;2874;Directed
502;4069;Directed
502;1760;Directed
502;344;Directed
502;1354;Directed
502;4053;Directed
502;1074;Directed
502;1526;Directed
502;1626;Directed
502;3156;Directed
502;3007;Directed
502;1779;Directed
502;1780;Directed
502;193;Directed
502;1075;Directed
502;1243;Directed
502;596;Directed
502;1678;Directed
502;1636;Directed
502;1524;Directed
502;600;Directed
502;1528;Directed
502;603;Directed
502;3878;Directed
502;1909;Directed
502;3646;Directed
502;1852;Directed
502;1519;Directed
502;1638;Directed
502;1529;Directed
502;1520;Directed
502;1064;Directed
502;628;Directed
502;342;Directed
548;1276;Directed
548;1268;Directed
548;1246;Directed
548;1265;Directed
548;1212;Directed
548;1376;Directed
548;1227;Directed
548;1252;Directed
548;1236;Directed
548;1270;Directed
548;6493;Directed
548;1280;Directed
548;3986;Directed
548;664;Directed
548;1531;Directed
548;1562;Directed
548;607;Directed
548;657;Directed
548;347;Directed
548;1538;Directed
548;346;Directed
548;691;Directed
548;1539;Directed
548;348;Directed
548;1567;Directed
548;1553;Directed
548;609;Directed
548;1612;Directed
548;1512;Directed
548;4309;Directed
548;708;Directed
548;1545;Directed
548;337;Directed
548;1055;Directed
548;1051;Directed
548;1505;Directed
548;1611;Directed
548;1587;Directed
548;1561;Directed
548;4322;Directed
548;1569;Directed
548;1606;Directed
548;676;Directed
548;1054;Directed
548;1508;Directed
548;1056;Directed
548;733;Directed
548;1588;Directed
548;1501;Directed
548;674;Directed
548;680;Directed
548;699;Directed
548;1745;Directed
548;1506;Directed
548;5591;Directed
548;1582;Directed
548;668;Directed
548;671;Directed
548;1489;Directed
548;5592;Directed
548;1190;Directed
548;669;Directed
548;1460;Directed
548;1218;Directed
548;1405;Directed
548;1352;Directed
548;1213;Directed
548;1289;Directed
548;498;Directed
548;3998;Directed
548;1222;Directed
548;1356;Directed
548;1216;Directed
548;8414;Directed
548;675;Directed
548;8832;Directed
548;1486;Directed
548;1194;Directed
548;458;Directed
548;3953;Directed
548;3956;Directed
548;1474;Directed
548;415;Directed
548;1193;Directed
548;3959;Directed
548;1458;Directed
548;1706;Directed
548;1715;Directed
548;1735;Directed
548;4317;Directed
548;535;Directed
548;1229;Directed
548;1251;Directed
548;1198;Directed
548;4057;Directed
548;534;Directed
548;1230;Directed
548;580;Directed
548;1066;Directed
548;1335;Directed
548;645;Directed
548;1353;Directed
548;585;Directed
548;1309;Directed
548;582;Directed
548;1253;Directed
548;1214;Directed
548;1226;Directed
548;4198;Directed
548;465;Directed
548;599;Directed
548;345;Directed
548;344;Directed
548;468;Directed
548;1354;Directed
548;355;Directed
548;1435;Directed
548;1526;Directed
548;1626;Directed
548;1075;Directed
548;4166;Directed
548;1517;Directed
548;1243;Directed
548;596;Directed
548;1636;Directed
548;353;Directed
548;600;Directed
548;1528;Directed
548;603;Directed
548;1519;Directed
548;608;Directed
548;350;Directed
548;601;Directed
548;352;Directed
548;1525;Directed
1268;548;Directed
1268;6493;Directed
1268;1335;Directed
515;547;Directed
515;609;Directed
515;532;Directed
515;580;Directed
492;1212;Directed
492;1264;Directed
492;1227;Directed
492;1236;Directed
492;1555;Directed
492;1515;Directed
492;337;Directed
492;1055;Directed
492;1051;Directed
492;1587;Directed
492;1569;Directed
492;1606;Directed
492;1054;Directed
492;1056;Directed
492;1588;Directed
492;674;Directed
492;680;Directed
492;1745;Directed
492;668;Directed
492;671;Directed
492;1489;Directed
492;1218;Directed
492;532;Directed
492;1382;Directed
492;3998;Directed
492;1222;Directed
492;1739;Directed
492;679;Directed
492;1746;Directed
492;1663;Directed
492;1490;Directed
492;1737;Directed
492;675;Directed
492;16;Directed
492;8832;Directed
492;1194;Directed
492;1652;Directed
492;1654;Directed
492;3953;Directed
492;3956;Directed
492;1662;Directed
492;3959;Directed
492;1657;Directed
492;1191;Directed
492;1655;Directed
492;1196;Directed
492;4317;Directed
492;1360;Directed
492;535;Directed
492;1229;Directed
492;2944;Directed
492;1198;Directed
492;4057;Directed
492;1590;Directed
492;2940;Directed
492;533;Directed
492;1439;Directed
492;534;Directed
492;1230;Directed
492;580;Directed
492;1738;Directed
492;1665;Directed
492;465;Directed
492;599;Directed
492;1354;Directed
492;373;Directed
492;1626;Directed
492;1075;Directed
492;1517;Directed
492;1678;Directed
492;1524;Directed
492;600;Directed
492;1638;Directed
492;601;Directed
492;342;Directed
1274;1386;Directed
1274;1382;Directed
1274;1335;Directed
1274;1353;Directed
1412;1386;Directed
1412;1335;Directed
507;248;Directed
507;1212;Directed
507;1273;Directed
507;517;Directed
507;521;Directed
507;287;Directed
507;1562;Directed
507;3885;Directed
507;3304;Directed
507;3395;Directed
507;3316;Directed
507;3751;Directed
507;644;Directed
507;1563;Directed
507;1538;Directed
507;346;Directed
507;3462;Directed
507;3370;Directed
507;49;Directed
507;3077;Directed
507;178;Directed
507;3877;Directed
507;3364;Directed
507;3731;Directed
507;3484;Directed
507;1555;Directed
507;687;Directed
507;1551;Directed
507;609;Directed
507;2397;Directed
507;3406;Directed
507;3577;Directed
507;3469;Directed
507;156;Directed
507;3930;Directed
507;1157;Directed
507;1059;Directed
507;951;Directed
507;351;Directed
507;2359;Directed
507;1587;Directed
507;1606;Directed
507;2279;Directed
507;1054;Directed
507;1208;Directed
507;1613;Directed
507;4091;Directed
507;737;Directed
507;797;Directed
507;1489;Directed
507;1218;Directed
507;532;Directed
507;478;Directed
507;1386;Directed
507;1382;Directed
507;1216;Directed
507;1739;Directed
507;679;Directed
507;16;Directed
507;1194;Directed
507;3941;Directed
507;421;Directed
507;1657;Directed
507;813;Directed
507;907;Directed
507;1701;Directed
507;210;Directed
507;273;Directed
507;535;Directed
507;1229;Directed
507;2948;Directed
507;2939;Directed
507;1128;Directed
507;1187;Directed
507;1197;Directed
507;1590;Directed
507;2177;Directed
507;2170;Directed
507;4059;Directed
507;2988;Directed
507;2985;Directed
507;4029;Directed
507;1107;Directed
507;2072;Directed
507;534;Directed
507;591;Directed
507;302;Directed
507;580;Directed
507;2560;Directed
507;2564;Directed
507;2082;Directed
507;2176;Directed
507;1335;Directed
507;1353;Directed
507;636;Directed
507;1738;Directed
507;666;Directed
507;467;Directed
507;1080;Directed
507;2922;Directed
507;2057;Directed
507;4330;Directed
507;2241;Directed
507;2179;Directed
507;2188;Directed
507;893;Directed
507;2194;Directed
507;2976;Directed
507;3988;Directed
507;1665;Directed
507;629;Directed
507;599;Directed
507;345;Directed
507;73;Directed
507;2206;Directed
507;2983;Directed
507;344;Directed
507;1354;Directed
507;260;Directed
507;4053;Directed
507;1074;Directed
507;3448;Directed
507;2997;Directed
507;2223;Directed
507;146;Directed
507;3797;Directed
507;3494;Directed
507;2207;Directed
507;3752;Directed
507;100;Directed
507;3849;Directed
507;2908;Directed
507;3093;Directed
507;3714;Directed
507;1953;Directed
507;3131;Directed
507;3141;Directed
507;3626;Directed
507;193;Directed
507;3024;Directed
507;1220;Directed
507;596;Directed
507;340;Directed
507;1678;Directed
507;1524;Directed
507;603;Directed
507;3144;Directed
507;3576;Directed
507;3876;Directed
507;3645;Directed
507;3830;Directed
507;1638;Directed
507;350;Directed
507;1529;Directed
507;1064;Directed
507;352;Directed
507;342;Directed
507;3076;Directed
507;3074;Directed
507;3858;Directed
507;3550;Directed
507;3670;Directed
507;1824;Directed
1246;502;Directed
1246;548;Directed
1246;523;Directed
1246;1225;Directed
1246;3986;Directed
1246;1562;Directed
1246;1538;Directed
1246;1539;Directed
1246;1555;Directed
1246;1553;Directed
1246;1054;Directed
1246;1057;Directed
1246;1056;Directed
1246;1367;Directed
1246;478;Directed
1246;1386;Directed
1246;1382;Directed
1246;3998;Directed
1246;1216;Directed
1246;1663;Directed
1246;1194;Directed
1246;1652;Directed
1246;1657;Directed
1246;1701;Directed
1246;1229;Directed
1246;1251;Directed
1246;2944;Directed
1246;1231;Directed
1246;591;Directed
1246;304;Directed
1246;302;Directed
1246;1230;Directed
1246;580;Directed
1246;1353;Directed
1246;585;Directed
1246;1253;Directed
1246;1214;Directed
1246;1665;Directed
1246;4198;Directed
1246;345;Directed
1246;355;Directed
1246;1074;Directed
1246;1075;Directed
1246;1243;Directed
1246;1678;Directed
1246;1636;Directed
1246;1638;Directed
1246;1525;Directed
1265;548;Directed
1265;1279;Directed
1265;495;Directed
1265;490;Directed
1265;591;Directed
1265;304;Directed
7459;3998;Directed
1212;502;Directed
1212;548;Directed
1212;492;Directed
1212;507;Directed
1212;231;Directed
1212;508;Directed
1212;523;Directed
1212;495;Directed
1212;1225;Directed
1212;517;Directed
1212;521;Directed
1212;469;Directed
1212;494;Directed
1212;3986;Directed
1212;664;Directed
1212;657;Directed
1212;665;Directed
1212;347;Directed
1212;644;Directed
1212;346;Directed
1212;691;Directed
1212;687;Directed
1212;609;Directed
1212;351;Directed
1212;711;Directed
1212;1054;Directed
1212;1056;Directed
1212;733;Directed
1212;699;Directed
1212;737;Directed
1212;663;Directed
1212;671;Directed
1212;1489;Directed
1212;669;Directed
1212;1218;Directed
1212;1367;Directed
1212;478;Directed
1212;1386;Directed
1212;490;Directed
1212;3998;Directed
1212;491;Directed
1212;1216;Directed
1212;460;Directed
1212;3956;Directed
1212;421;Directed
1212;446;Directed
1212;514;Directed
1212;210;Directed
1212;488;Directed
1212;535;Directed
1212;552;Directed
1212;1229;Directed
1212;4029;Directed
1212;534;Directed
1212;591;Directed
1212;304;Directed
1212;302;Directed
1212;537;Directed
1212;580;Directed
1212;645;Directed
1212;636;Directed
1212;585;Directed
1212;666;Directed
1212;582;Directed
1212;1665;Directed
1212;630;Directed
1212;4198;Directed
1212;465;Directed
1212;599;Directed
1212;345;Directed
1212;344;Directed
1212;355;Directed
1212;4053;Directed
1212;4166;Directed
1212;638;Directed
1212;1243;Directed
1212;340;Directed
1212;1678;Directed
1212;353;Directed
1212;600;Directed
1212;608;Directed
1212;350;Directed
1212;1525;Directed
1212;628;Directed
1212;342;Directed
1262;1386;Directed
231;1212;Directed
231;1273;Directed
231;287;Directed
231;1555;Directed
231;1218;Directed
231;1386;Directed
231;1382;Directed
231;1701;Directed
231;1399;Directed
231;210;Directed
231;1229;Directed
231;1335;Directed
231;1353;Directed
231;221;Directed
231;1423;Directed
231;1074;Directed
231;220;Directed
508;1212;Directed
508;1551;Directed
508;337;Directed
508;669;Directed
508;1218;Directed
508;499;Directed
508;3998;Directed
508;535;Directed
508;1230;Directed
508;580;Directed
508;465;Directed
508;599;Directed
508;1626;Directed
1264;502;Directed
1264;492;Directed
1264;1418;Directed
1264;1415;Directed
1264;287;Directed
1264;346;Directed
1264;1555;Directed
1264;1551;Directed
1264;1553;Directed
1264;1218;Directed
1264;1386;Directed
1264;1382;Directed
1264;1399;Directed
1264;210;Directed
1264;535;Directed
1264;1229;Directed
1264;1403;Directed
1264;304;Directed
1264;580;Directed
1264;1335;Directed
1264;1353;Directed
1264;585;Directed
1264;1253;Directed
1264;1665;Directed
1264;599;Directed
1264;1354;Directed
1264;4053;Directed
1264;1074;Directed
1264;1435;Directed
1264;1075;Directed
1264;1636;Directed
1264;1524;Directed
1264;1324;Directed
1264;1638;Directed
1264;1321;Directed
1376;548;Directed
1376;478;Directed
1376;1353;Directed
1376;599;Directed
1376;1075;Directed
1376;1636;Directed
1227;502;Directed
1227;548;Directed
1227;492;Directed
1227;523;Directed
1227;517;Directed
1227;469;Directed
1227;494;Directed
1227;478;Directed
1227;490;Directed
1227;1229;Directed
1227;537;Directed
1227;599;Directed
1279;1265;Directed
1279;1386;Directed
249;248;Directed
5562;1056;Directed
5562;674;Directed
5562;680;Directed
5562;668;Directed
5562;671;Directed
5562;679;Directed
5562;3959;Directed
1252;548;Directed
1252;1367;Directed
1252;3998;Directed
1252;1652;Directed
1252;1657;Directed
1252;304;Directed
1252;1525;Directed
1236;548;Directed
1236;492;Directed
1236;523;Directed
1236;491;Directed
1236;304;Directed
1236;537;Directed
1236;585;Directed
1236;4198;Directed
1236;599;Directed
1236;355;Directed
1236;353;Directed
1270;548;Directed
