appln_id,inv_person_id,inv_reg_code,inv_ctry_code,reg_code,ctry_code,prio_year,han_id,ipc
315,894,DED21,DE,DE117,DE,2007,181073,G06
494,1251,DE258,DE,DE254,DE,2007,379217,G06
542,4254522,DE300,DE,CH066,CH,2007,286361,G06
542,44730548,DE300,DE,CH066,CH,2007,286361,G06
629,1445,DE300,DE,CH066,CH,2007,286361,G06
630,44730586,DE300,DE,CH066,CH,2007,286361,G06
646,44730593,CH021,CH,CH021,CH,2008,826593,G06
1092,2402,DE925,DE,DE111,DE,2007,4964,G06
1116,2437,DE274,DE,DE27C,DE,2007,800178,G06
1132,2459,DE111,DE,DE111,DE,2007,2305765,G06
1134,2461,DE26B,DE,DE262,DE,2007,945826,G06
2914,9068,US34021,US,US34021,US,2007,3004689,G06
2914,9069,US49035,US,US34021,US,2007,3004689,G06
2914,9070,US34023,US,US34021,US,2007,3004689,G06
2914,9071,US34021,US,US34021,US,2007,3004689,G06
2936,9124,JPC20,JP,JPC20,JP,2007,1746785,G06
2976,9220,US12009,US,US12009,US,2007,3003024,G06
2976,9221,US12009,US,US12009,US,2007,3003024,G06
2977,9223,JPF23,JP,JPF23,JP,2007,40156,G06
2996,9291,JPG27,JP,JPG27,JP,2007,14516,G06
3000,9303,DE711,DE,DE711,DE,2008,2263342,G06
3000,9304,DE716,DE,DE711,DE,2008,2263342,G06
3001,9306,US36067,US,US36067,US,2007,3227552,G06
3001,9307,US06085,US,US36067,US,2007,3227552,G06
3001,9308,US36069,US,US36067,US,2007,3227552,G06
3001,9309,US53061,US,US36067,US,2007,3227552,G06
3001,9310,US36067,US,US36067,US,2007,3227552,G06
3001,9311,US36067,US,US36067,US,2007,3227552,G06
3001,9312,US06001,US,US36067,US,2007,3227552,G06
3044,9415,CH055,CH,DE128,DE,2007,2095418,G06
3044,9416,CH057,CH,DE128,DE,2007,2095418,G06
3044,9417,CH040,CH,DE128,DE,2007,2095418,G06
3044,9418,CH055,CH,DE128,DE,2007,2095418,G06
3183,44730859,US48201,US,CH052,CH,2007,369,G06
3183,44730860,US48201,US,CH052,CH,2007,369,G06
3183,44730861,US48201,US,CH052,CH,2007,369,G06
3261,44730908,JPD14,JP,JPD14,JP,2007,14472,G06
3261,44730909,JPD14,JP,JPD14,JP,2007,14472,G06
3265,9855,JPD14,JP,JPD14,JP,2007,14472,G06
3265,9856,JPD14,JP,JPD14,JP,2007,14472,G06
3265,9857,JPG28,JP,JPD14,JP,2007,14472,G06
3360,44730957,IL042,IL,IL042,IL,2007,92028,G06
3360,44730958,IL042,IL,IL042,IL,2007,92028,G06
3360,44730959,IL042,IL,IL042,IL,2007,92028,G06
3386,10015,KR013,KR,KR013,KR,2007,1374108,G06
3386,10016,KR013,KR,KR013,KR,2007,1374108,G06
3427,10061,PL522,PL,US26125,US,2008,3001920,G06
3427,10062,PL214,PL,US26125,US,2008,3001920,G06
3445,298469,NL337,NL,NL333,NL,2008,1730411,G06
3445,44730993,NL332,NL,NL333,NL,2008,1730411,G06
3445,44730994,NL333,NL,NL333,NL,2008,1730411,G06
3445,44730995,NL332,NL,NL333,NL,2008,1730411,G06
3445,44730996,NL332,NL,NL333,NL,2008,1730411,G06
3445,44730997,NL332,NL,NL333,NL,2008,1730411,G06
3490,10144,KR013,KR,KR013,KR,2007,1374108,G06
3497,10157,JPG27,JP,JPG27,JP,2007,1729978,G06
3502,10167,JPD13,JP,JPD13,JP,2007,2272962,G06
3502,10168,JPD13,JP,JPD13,JP,2007,2272962,G06
3502,10169,JPD13,JP,JPD13,JP,2007,2272962,G06
3502,10170,JPD13,JP,JPD13,JP,2007,2272962,G06
3502,10171,JPD13,JP,JPD13,JP,2007,2272962,G06
3526,44731041,IL042,IL,IL041,IL,2007,2660665,G06
3527,44731041,IL042,IL,IL041,IL,2007,2660665,G06
3542,10228,JPD14,JP,JPD13,JP,2007,14472,G06
3542,10229,JPD14,JP,JPD13,JP,2007,14472,G06
3544,44731047,SGZZZ,SG,FR105,FR,2007,39542,G06
3581,64244,CH022,CH,CH011,CH,2008,1711406,G06
3581,44731082,CH011,CH,CH011,CH,2008,1711406,G06
3581,44731083,CH011,CH,CH011,CH,2008,1711406,G06
3581,44731084,CH011,CH,CH011,CH,2008,1711406,G06
3605,44731101,JPD14,JP,JPD14,JP,2007,14472,G06
3605,44731102,JPD14,JP,JPD14,JP,2007,14472,G06
3712,10465,CA3506,CA,CA3530,CA,2008,3005651,G06
3712,10466,CA3530,CA,CA3530,CA,2008,3005651,G06
3716,10467,DEA22,DE,DEA22,DE,2008,10141,G06
3721,44731189,KR011,KR,KR011,KR,2007,22676,G06
3721,44731190,KR011,KR,KR011,KR,2007,22676,G06
3721,44731191,KR011,KR,KR011,KR,2007,22676,G06
3759,10507,JPG27,JP,JPG27,JP,2007,1729978,G06
3765,10515,KR013,KR,KR013,KR,2007,1374108,G06
3779,10539,SE221,SE,SE110,SE,2008,2381603,G06
3790,10558,US34027,US,US34027,US,2007,3003172,G06
3790,10559,US35001,US,US34027,US,2007,3003172,G06
3790,10560,US35001,US,US34027,US,2007,3003172,G06
3800,639702,DED21,DE,DE713,DE,2008,1095662,G06
3800,2174657,DE71C,DE,DE713,DE,2008,1095662,G06
3800,44731229,DE71C,DE,DE713,DE,2008,1095662,G06
3800,44731230,DE713,DE,DE713,DE,2008,1095662,G06
3817,44731237,SE224,SE,SE110,SE,2008,2381603,G06
3817,44731238,SE224,SE,SE110,SE,2008,2381603,G06
3817,44731239,SE224,SE,SE110,SE,2008,2381603,G06
3836,44731247,CN191,CN,CN191,CN,2007,1122343,G06
3836,44731248,CN191,CN,CN191,CN,2007,1122343,G06
3849,10659,JPD13,JP,JPD13,JP,2007,6302,G06
3849,10660,JPD13,JP,JPD13,JP,2007,6302,G06
3849,10661,JPD13,JP,JPD13,JP,2007,6302,G06
3866,10678,JPD14,JP,JPD14,JP,2007,14472,G06
3866,10679,JPD14,JP,JPD14,JP,2007,14472,G06
3878,44731264,JPD14,JP,JPD14,JP,2007,14472,G06
3878,44731265,JPD14,JP,JPD14,JP,2007,14472,G06
3888,44731268,SE224,SE,SE224,SE,2008,140393,G06
3890,10707,CA3530,CA,CA3530,CA,2007,3005651,G06
3890,10708,CA3530,CA,CA3530,CA,2007,3005651,G06
3890,10709,CA3521,CA,CA3530,CA,2007,3005651,G06
3892,44731269,UKI11,GB,UKI12,GB,2007,1892660,G06
3901,10726,JPD13,JP,JPD13,JP,2008,3622768,G06
3903,10727,JPG27,JP,JPG27,JP,2008,28940,G06
3913,40502,NL332,NL,NL333,NL,2008,1730411,G06
3913,70160,NL113,NL,NL333,NL,2008,1730411,G06
3913,1776647,NL332,NL,NL333,NL,2008,1730411,G06
3920,44731284,KR011,KR,KR011,KR,2008,22676,G06
3920,44731285,KR011,KR,KR011,KR,2008,22676,G06
3940,47123433,JPG27,JP,JPG27,JP,2007,1729978,G06
3949,10803,NL221,NL,NL333,NL,2008,1730411,G06
3949,10804,NL414,NL,NL333,NL,2008,1730411,G06
3956,10818,JPD14,JP,JPD14,JP,2007,27270,G06
3956,10819,JPD14,JP,JPD14,JP,2007,27270,G06
3956,10820,JPD14,JP,JPD14,JP,2007,27270,G06
3956,10821,JPD14,JP,JPD14,JP,2007,27270,G06
3960,10826,FI1C1,FI,US06085,US,2007,3032561,G06
3960,10827,FI1C1,FI,US06085,US,2007,3032561,G06
3970,10848,US12117,US,US06085,US,2007,3512000,G06
3970,10849,US12095,US,US06085,US,2007,3512000,G06
3978,9958,US53033,US,US34027,US,2007,3003172,G06
3978,10859,US34027,US,US34027,US,2007,3003172,G06
3979,10860,US25017,US,US06085,US,2007,3512000,G06
3979,10861,US25021,US,US06085,US,2007,3512000,G06
4024,10928,JPD14,JP,JPD14,JP,2007,14472,G06
4024,10929,JPD14,JP,JPD14,JP,2007,14472,G06
4052,10996,CA3506,CA,CA2466,CA,2007,3352465,G06
4052,10997,CA3506,CA,CA2466,CA,2007,3352465,G06
4053,11000,DEZZZ,DE,CN34,CN,2007,3672086,G06
4053,11001,US48491,US,CN34,CN,2007,3672086,G06
4053,11002,USZZZ,US,CN34,CN,2007,3672086,G06
4053,11003,UKH12,GB,CN34,CN,2007,3672086,G06
4053,11004,UKH12,GB,CN34,CN,2007,3672086,G06
4086,11070,IL032,IL,US06037,US,2007,3063359,G06
4086,11071,US25025,US,US06037,US,2007,3063359,G06
4094,11090,JPC20,JP,JPD13,JP,2007,34347,G06
4096,11094,US06085,US,US06085,US,2007,3348197,G06
4097,11094,US06085,US,US06085,US,2007,3348197,G06
4098,44731310,JPD13,JP,JPD13,JP,2007,17370,G06
4098,44731311,JPD13,JP,JPD13,JP,2007,17370,G06
4098,44731312,JPD13,JP,JPD13,JP,2007,17370,G06
4099,11096,JPD13,JP,JPD13,JP,2007,17370,G06
4099,11097,JPD13,JP,JPD13,JP,2007,17370,G06
4099,11098,JPD13,JP,JPD13,JP,2007,17370,G06
4099,11099,JPD13,JP,JPD13,JP,2007,17370,G06
4099,11100,JPD13,JP,JPD13,JP,2007,17370,G06
4133,44731325,US12095,US,US39113,US,2007,3004680,G06
4133,44731326,US12095,US,US39113,US,2007,3004680,G06
4133,44731327,US06085,US,US39113,US,2007,3004680,G06
4135,11188,US17031,US,CH052,CH,2007,369,G06
4135,11189,US18089,US,CH052,CH,2007,369,G06
4135,11190,US24031,US,CH052,CH,2007,369,G06
4140,44731328,JPD13,JP,JPD14,JP,2007,1082256,G06
4143,11204,JPD13,JP,JPD13,JP,2007,17370,G06
4143,11205,JPD13,JP,JPD13,JP,2007,17370,G06
4144,44731329,JPD13,JP,JPD13,JP,2007,17370,G06
4144,44731330,JPD13,JP,JPD13,JP,2007,17370,G06
4144,44731331,JPD13,JP,JPD13,JP,2007,17370,G06
4144,44731332,JPD13,JP,JPD13,JP,2007,17370,G06
4144,44731333,JPD13,JP,JPD13,JP,2007,17370,G06
4149,11215,JPD13,JP,JPD13,JP,2007,17370,G06
4149,11216,JPD13,JP,JPD13,JP,2007,17370,G06
4150,44731334,JPD13,JP,JPD13,JP,2007,17370,G06
4150,44731335,JPD13,JP,JPD13,JP,2007,17370,G06
4150,44731336,JPD13,JP,JPD13,JP,2007,17370,G06
4150,44731337,JPD13,JP,JPD13,JP,2007,17370,G06
4177,44731347,JPD13,JP,JPD13,JP,2007,17370,G06
4177,44731348,JPD13,JP,JPD13,JP,2007,17370,G06
4178,11291,US06085,US,US36103,US,2007,3007341,G06
4178,11292,US06081,US,US36103,US,2007,3007341,G06
4178,11293,JPD13,JP,US36103,US,2007,3007341,G06
4183,11298,US06085,US,US36103,US,2007,3007341,G06
4183,11299,US06081,US,US36103,US,2007,3007341,G06
4183,11300,US06081,US,US36103,US,2007,3007341,G06
4183,11301,US53033,US,US36103,US,2007,3007341,G06
4189,11313,SGZZZ,SG,SGZZZ,SG,2007,3763461,G06
4189,11314,SGZZZ,SG,SGZZZ,SG,2007,3763461,G06
4189,11315,SGZZZ,SG,SGZZZ,SG,2007,3763461,G06
4190,11317,DE501,DE,DE501,DE,2008,2410845,G06
4191,11319,SGZZZ,SG,SGZZZ,SG,2007,1287653,G06
4191,11320,SGZZZ,SG,JPG27,JP,2007,3763461,G06
4191,11321,JPD14,JP,JPG27,JP,2007,3763461,G06
4194,11313,SGZZZ,SG,SGZZZ,SG,2007,3763461,G06
4194,11314,SGZZZ,SG,SGZZZ,SG,2007,3763461,G06
4198,11334,US53033,US,CN34,CN,2008,3672539,G06
4198,11335,CN34,CN,CN34,CN,2008,3672539,G06
4241,196681,BE211,BE,FR101,FR,2008,98298,G06
4241,2193574,BE213,BE,FR101,FR,2008,98298,G06
