;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P30
P1;11;9;10;9;7;8;7;9;9;2;9;9;8;9;9;8;8;10;11;10;9;8;9;10;8;10
P2;9;11;9;8;6;8;7;10;8;0;8;10;9;7;9;8;6;8;9;8;8;7;8;8;8;8
P3;10;9;11;9;6;8;7;8;9;2;8;8;8;9;9;7;9;10;10;10;9;9;10;10;7;10
P4;9;8;9;11;8;9;8;8;10;3;10;8;9;10;10;8;8;9;9;9;11;9;8;10;8;9
P5;7;6;6;8;11;9;9;7;8;4;9;6;8;8;8;8;6;7;7;7;8;7;6;7;8;7
P6;8;8;8;9;9;11;10;9;9;2;10;8;10;9;10;10;7;8;9;8;10;7;7;8;10;8
P7;7;7;7;8;9;10;11;8;8;2;9;7;9;8;9;10;6;7;7;7;9;6;6;7;10;7
P8;9;10;8;8;7;9;8;11;8;1;9;10;10;8;9;9;6;8;9;8;8;6;7;8;9;8
P9;9;8;9;10;8;9;8;8;11;3;10;8;8;10;9;8;9;10;9;10;10;9;9;10;8;10
P10;2;0;2;3;4;2;2;1;3;11;3;0;1;4;2;1;4;3;2;3;3;4;2;3;1;3
P11;9;8;8;10;9;10;9;9;10;3;11;8;9;10;10;9;7;9;9;9;10;8;8;9;9;9
P12;9;10;8;8;6;8;7;10;8;0;8;11;9;7;9;9;6;7;9;7;8;6;7;7;9;7
P13;8;9;8;9;8;10;9;10;8;1;9;9;11;8;10;10;6;8;9;8;9;7;7;8;10;8
P15;9;7;9;10;8;9;8;8;10;4;10;7;8;11;9;8;8;10;9;10;10;9;8;10;8;10
P16;9;9;9;10;8;10;9;9;9;2;10;9;10;9;11;9;7;9;9;9;10;8;8;9;9;9
P17;8;8;7;8;8;10;10;9;8;1;9;9;10;8;9;11;5;7;8;7;9;6;6;7;11;7
P18;8;6;9;8;6;7;6;6;9;4;7;6;6;8;7;5;11;9;8;9;8;10;9;9;6;9
P19;10;8;10;9;7;8;7;8;10;3;9;7;8;10;9;7;9;11;10;11;9;10;10;11;7;11
P20;11;9;10;9;7;9;7;9;9;2;9;9;9;9;9;8;8;10;11;10;9;8;9;10;8;10
P21;10;8;10;9;7;8;7;8;10;3;9;7;8;10;9;7;9;11;10;11;9;10;9;11;7;11
P22;9;8;9;11;8;10;9;8;10;3;10;8;9;10;10;9;8;9;9;9;11;8;8;9;9;9
P23;8;7;9;9;7;7;6;6;9;4;8;6;7;9;8;6;10;10;8;10;8;11;9;10;6;10
P24;9;8;10;8;6;7;6;7;9;2;8;7;7;8;8;6;9;10;9;9;8;9;11;9;6;10
P25;10;8;10;10;7;8;7;8;10;3;9;7;8;10;9;7;9;11;10;11;9;10;9;11;7;11
P26;8;8;7;8;8;10;10;9;8;1;9;9;10;8;9;11;6;7;8;7;9;6;6;7;11;7
P30;10;8;10;9;7;8;7;8;10;3;9;7;8;10;9;7;9;11;10;11;9;10;10;11;7;11
