"reg_code";"prio_year";"tech";"nr_patents"
"HU101";2001;"A01K";1
"HU101";2001;"A01N";2
"HU101";2001;"A23L";1
"HU101";2001;"A47J";1
"HU101";2001;"A61B";2
"HU101";2001;"A61K";14
"HU101";2001;"B01D";1
"HU101";2001;"B01J";1
"HU101";2001;"B23K";1
"HU101";2001;"B30B";1
"HU101";2001;"B60R";1
"HU101";2001;"B60T";2
"HU101";2001;"C02F";1
"HU101";2001;"C04B";2
"HU101";2001;"C05F";2
"HU101";2001;"C07C";6
"HU101";2001;"C07D";19
"HU101";2001;"C07F";2
"HU101";2001;"C07K";3
"HU101";2001;"C08B";1
"HU101";2001;"C08F";1
"HU101";2001;"C08G";1
"HU101";2001;"C08J";1
"HU101";2001;"C09D";1
"HU101";2001;"C10L";1
"HU101";2001;"C11C";1
"HU101";2001;"C11D";2
"HU101";2001;"C12N";3
"HU101";2001;"C12P";1
"HU101";2001;"C12Q";3
"HU101";2001;"C12R";2
"HU101";2001;"C23C";1
"HU101";2001;"E03D";1
"HU101";2001;"E05B";1
"HU101";2001;"E06B";1
"HU101";2001;"E06C";1
"HU101";2001;"F16C";1
"HU101";2001;"F16J";1
"HU101";2001;"F16K";1
"HU101";2001;"G01B";1
"HU101";2001;"G01N";10
"HU101";2001;"G02B";1
"HU101";2001;"G06F";2
"HU101";2001;"G06K";1
"HU101";2001;"G06Q";3
"HU101";2001;"G07C";2
"HU101";2001;"G08B";1
"HU101";2001;"G08G";1
"HU101";2001;"G09F";1
"HU101";2001;"G11B";1
"HU101";2001;"G21C";1
"HU101";2001;"G21G";1
"HU101";2001;"G21Y";1
"HU101";2001;"H01J";2
"HU101";2001;"H02J";1
"HU101";2001;"H03H";1
"HU101";2001;"H04L";18
"HU101";2001;"H04M";2
"HU101";2001;"H04Q";1
"HU101";2001;"H04W";13
"HU101";2001;"Y02E";2
"HU101";2001;"Y02P";3
"HU101";2001;"Y10S";3
"HU101";2001;"Y10T";2
"HU102";2001;"A01F";1
"HU102";2001;"A01K";1
"HU102";2001;"A61B";2
"HU102";2001;"A61F";1
"HU102";2001;"A61K";6
"HU102";2001;"B01F";1
"HU102";2001;"B01J";1
"HU102";2001;"B23K";1
